      Lon      Lat    Year   Stand   Patch     Veg    Repr    Soil    Fire     Est       NEE
   -71.25   -32.75    1950       0       0  -0.327   0.033   0.187   0.010   0.000  -0.09729
   -71.25   -32.75    1950       0       1  -0.317   0.032   0.184   0.008   0.000  -0.09239
   -71.25   -32.75    1950       0       2  -0.302   0.030   0.172   0.000   0.000  -0.09994
   -71.25   -32.75    1950       0       3  -0.196   0.020   0.211   0.002   0.000   0.03660
   -71.25   -32.75    1950       0       4  -0.312   0.031   0.172   0.000   0.000  -0.10942
   -71.25   -32.75    1950     110       0  -0.477   0.048   0.371   0.019   0.000  -0.03974
   -71.25   -32.75    1950     110       1  -0.533   0.053   0.319   0.042   0.000  -0.11875
   -71.25   -32.75    1950     110       2  -0.553   0.055   0.321   0.028   0.000  -0.14809
   -71.25   -32.75    1950     110       3  -0.200   0.020   0.287   0.006   0.000   0.11282
   -71.25   -32.75    1950     110       4  -0.294   0.029   0.128   0.007   0.000  -0.12965
   -71.25   -32.75    1950     131       0  -0.464   0.046   0.384   0.013   0.000  -0.02027
   -71.25   -32.75    1950     131       1  -0.345   0.035   0.288   0.017   0.000  -0.00577
   -71.25   -32.75    1950     131       2  -0.514   0.051   0.334   0.311   0.000   0.18298
   -71.25   -32.75    1950     131       3  -0.577   0.058   0.243   0.014   0.000  -0.26254
   -71.25   -32.75    1950     131       4  -0.523   0.052   0.282   0.034   0.000  -0.15460
   -71.25   -32.75    1950     132       0  -0.396   0.040   0.304   0.011   0.000  -0.04125
   -71.25   -32.75    1950     132       1  -0.296   0.030   0.258   0.336   0.000   0.32794
   -71.25   -32.75    1950     132       2  -0.339   0.034   0.207   0.010   0.000  -0.08838
   -71.25   -32.75    1950     132       3  -0.345   0.034   0.294   0.019   0.000   0.00278
   -71.25   -32.75    1950     132       4  -0.284   0.028   0.220   0.009   0.000  -0.02651
   -71.25   -32.75    1950     133       0  -0.519   0.052   0.323   0.022   0.000  -0.12209
   -71.25   -32.75    1950     133       1  -0.353   0.035   0.208   0.020   0.000  -0.08985
   -71.25   -32.75    1950     133       2  -0.060   0.006   0.048   0.000   0.000  -0.00662
   -71.25   -32.75    1950     133       3  -0.476   0.048   0.266   0.016   0.000  -0.14685
   -71.25   -32.75    1950     133       4  -0.511   0.051   0.253   0.015   0.000  -0.19136
   -71.25   -32.75    1950     134       0  -0.519   0.052   0.320   0.024   0.000  -0.12317
   -71.25   -32.75    1950     134       1  -0.298   0.030   0.155   0.017   0.000  -0.09688
   -71.25   -32.75    1950     134       2  -0.522   0.052   0.296   0.011   0.000  -0.16228
   -71.25   -32.75    1950     134       3  -0.513   0.051   0.325   0.621   0.000   0.48362
   -71.25   -32.75    1950     134       4  -0.600   0.060   0.272   0.007   0.000  -0.26064
   -71.25   -32.75    1950     140       0  -0.559   0.056   0.324   0.027  -0.011  -0.16399
   -71.25   -32.75    1950     140       1  -0.349   0.035   0.247   0.000   0.000  -0.06789
   -71.25   -32.75    1950     140       2  -0.363   0.036   0.167   0.003   0.000  -0.15791
   -71.25   -32.75    1950     140       3  -0.509   0.051   0.283   0.019   0.000  -0.15655
   -71.25   -32.75    1950     140       4  -0.469   0.047   0.341   0.307   0.000   0.22533
   -71.25   -32.75    1950     160       0  -0.460   0.046   0.211   0.003   0.000  -0.19925
   -71.25   -32.75    1950     160       1  -0.438   0.044   0.420   0.026  -0.018   0.03395
   -71.25   -32.75    1950     160       2  -0.550   0.055   0.316   0.035   0.000  -0.14482
   -71.25   -32.75    1950     160       3  -0.425   0.042   0.269   0.027  -0.020  -0.10717
   -71.25   -32.75    1950     160       4  -0.091   0.009   0.130   0.002   0.000   0.05065
   -71.25   -32.75    1951       0       0  -0.003   0.000   0.324   0.004   0.000   0.32550
   -71.25   -32.75    1951       0       1  -0.027   0.003   0.330   0.011   0.000   0.31660
   -71.25   -32.75    1951       0       2  -0.086   0.009   0.294   0.012   0.000   0.22900
   -71.25   -32.75    1951       0       3  -0.012   0.001   0.229   0.004   0.000   0.22211
   -71.25   -32.75    1951       0       4  -0.005   0.000   0.259   0.004   0.000   0.25831
   -71.25   -32.75    1951     110       0  -0.000   0.000   0.548   0.009   0.000   0.55679
   -71.25   -32.75    1951     110       1  -0.000   0.000   0.580   0.008   0.000   0.58758
   -71.25   -32.75    1951     110       2  -0.000   0.000   0.600   0.008   0.000   0.60727
   -71.25   -32.75    1951     110       3  -0.001   0.000   0.305   0.006   0.000   0.31010
   -71.25   -32.75    1951     110       4  -0.143   0.014   0.273   0.051   0.000   0.19458
   -71.25   -32.75    1951     131       0  -0.014   0.001   0.454   0.005   0.000   0.44640
   -71.25   -32.75    1951     131       1  -0.000   0.000   0.447   0.008   0.000   0.45515
   -71.25   -32.75    1951     131       2  -0.000   0.000   0.527   0.004   0.000   0.53053
   -71.25   -32.75    1951     131       3  -0.078   0.008   0.465   0.010   0.000   0.40520
   -71.25   -32.75    1951     131       4  -0.004   0.000   0.530   0.007   0.000   0.53348
   -71.25   -32.75    1951     132       0  -0.003   0.000   0.540   0.011   0.000   0.54845
   -71.25   -32.75    1951     132       1  -0.000   0.000   0.361   0.009   0.000   0.37071
   -71.25   -32.75    1951     132       2  -0.000   0.000   0.399   0.008   0.000   0.40727
   -71.25   -32.75    1951     132       3  -0.000   0.000   0.451   0.013   0.000   0.46364
   -71.25   -32.75    1951     132       4  -0.000   0.000   0.373   0.009   0.000   0.38217
   -71.25   -32.75    1951     133       0  -0.003   0.000   0.578   0.009   0.000   0.58385
   -71.25   -32.75    1951     133       1  -0.029   0.003   0.397   0.011   0.000   0.38184
   -71.25   -32.75    1951     133       2  -0.065   0.006   0.059   0.000   0.000   0.00055
   -71.25   -32.75    1951     133       3  -0.011   0.001   0.527   0.005   0.000   0.52221
   -71.25   -32.75    1951     133       4  -0.000   0.000   0.519   0.006   0.000   0.52555
   -71.25   -32.75    1951     134       0  -0.001   0.000   0.560   0.009   0.000   0.56759
   -71.25   -32.75    1951     134       1  -0.290   0.029   0.255   0.050   0.000   0.04423
   -71.25   -32.75    1951     134       2  -0.021   0.002   0.506   0.015   0.000   0.50195
   -71.25   -32.75    1951     134       3  -0.000   0.000   0.504   0.006   0.000   0.50953
   -71.25   -32.75    1951     134       4  -0.000   0.000   0.507   0.009   0.000   0.51588
   -71.25   -32.75    1951     140       0  -0.027   0.003   0.600   0.011   0.000   0.58669
   -71.25   -32.75    1951     140       1  -0.362   0.036   0.348   0.162   0.000   0.18427
   -71.25   -32.75    1951     140       2  -0.000   0.000   0.358   0.007   0.000   0.36437
   -71.25   -32.75    1951     140       3  -0.000   0.000   0.537   0.008   0.000   0.54466
   -71.25   -32.75    1951     140       4  -0.001   0.000   0.525   0.004   0.000   0.52909
   -71.25   -32.75    1951     160       0  -0.000   0.000   0.430   0.008   0.000   0.43855
   -71.25   -32.75    1951     160       1  -0.047   0.005   0.477   0.015   0.000   0.45027
   -71.25   -32.75    1951     160       2   0.000  -0.000   0.598   0.007  -0.072   0.53403
   -71.25   -32.75    1951     160       3  -0.345   0.034   0.386   0.061   0.000   0.13597
   -71.25   -32.75    1951     160       4  -0.000   0.000   0.157   0.005   0.000   0.16184
   -71.25   -32.75    1952       0       0  -0.009   0.001   0.213   0.003   0.000   0.20703
   -71.25   -32.75    1952       0       1  -0.048   0.005   0.228   0.008   0.000   0.19241
   -71.25   -32.75    1952       0       2  -0.161   0.016   0.200   0.017   0.000   0.07209
   -71.25   -32.75    1952       0       3  -0.046   0.005   0.153   0.005   0.000   0.11640
   -71.25   -32.75    1952       0       4  -0.019   0.002   0.184   0.003   0.000   0.16956
   -71.25   -32.75    1952     110       0  -0.000   0.000   0.344   0.005   0.000   0.34918
